Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
Dell Laptop Multipack Initiative,Electronics,Smaller size,Dematerialization,Minimal material and packaging,A smaller product size inherently requires less material for both the product itself and its associated packaging.,Eliminate,Achieving a smaller size often involves eliminating excess space or components that are not essential to the product's function.,https://ifdesign.com/en/winner-ranking/project/dell-laptop-multipack-initiative/698822
Be Hybrid,Furniture,Adapts to various workspaces,Longevity and Effective Usage,Design for upgradability and adaptability,"By adapting to various workspaces, the product's utility is extended across different environments and potential future uses, promoting longevity.",Adapt,"The ability to adapt to various workspaces suggests that the design considered different contexts and user needs, adapting the product's form or function accordingly.",https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Offers instant comfort,Longevity and Effective Usage,Design to last,"Instant comfort contributes to user satisfaction and a positive user experience, encouraging longer-term use and reducing the likelihood of premature replacement.",Modify,The focus on 'instant comfort' implies modifying existing design elements or adding new ones to enhance the user's immediate experience.,https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Single button seat height adjustment,Product efficiency,Material consumption efficiency,"A single, intuitive control simplifies operation and potentially reduces the complexity and material required for adjustment mechanisms.",Eliminate,"Simplifying the adjustment to a single button suggests an elimination of more complex or multi-component systems, streamlining the design.",https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Focuses on user comfort and support,Longevity and Effective Usage,Design to last,"Prioritizing user comfort and support leads to a more satisfying and ergonomic experience, which encourages prolonged use and reduces the need for frequent replacements.",Modify,Focusing on user comfort and support involves modifying existing design elements or developing new ones to enhance the user's physical well-being.,https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Effectively distributes weight,Product efficiency,Material consumption efficiency,"Effective weight distribution can allow for the use of less material while maintaining structural integrity and user support, thus improving material efficiency.",Combine,The feature suggests combining different material properties or structural elements to achieve a more balanced and efficient distribution of weight.,https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Ensures comfort in any seated posture,Longevity and Effective Usage,Design for multiple uses,"By accommodating various seated postures, the product offers greater versatility and usability for a wider range of users and activities, extending its effective lifespan.",Adapt,The ability to ensure comfort in 'any seated posture' implies adapting the product's design to accommodate a wide spectrum of user movements and positions.,https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
Be Hybrid,Furniture,Patented mechanism that automatically adjusts to posture,Longevity and Effective Usage,Design to last,"An automatic adjustment mechanism enhances user experience and ergonomic support, leading to greater satisfaction and encouraging longer-term product use.",Combine,This feature likely combines mechanical engineering principles with ergonomic design to create an automated system that responds to user posture.,https://ifdesign.com/en/winner-ranking/project/be-hybrid/697694
X Shore 1,Vehicles and Parts,"Electric, zero-emission vessel",Product efficiency,Energy consumption efficiency,"By utilizing electric propulsion, the vessel significantly reduces or eliminates direct emissions, leading to more efficient energy use compared to traditional combustion engines.",Substitute,"The design substitutes the traditional fossil fuel engine with an electric motor, a fundamental change in the vessel's power source.",https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,Eco-friendly materials like cork and recycled glass fibre,Next-Best Material Selection,Recycled material,"The use of cork and recycled glass fibre directly aligns with selecting materials that are either renewable or have been repurposed, reducing reliance on virgin resources.",Substitute,This feature substitutes conventional boat building materials with more sustainable alternatives like cork and recycled glass fibre.,https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,Advanced smart technology,Product efficiency,Variable energy consumption,"Smart technology can optimize energy usage based on real-time conditions, allowing for more efficient power management and thus variable energy consumption.",Adapt,The design adapts existing smart technology principles from other industries to enhance the operational efficiency and user experience of the vessel.,https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,Scandinavian simplicity,Dematerialization,Content reduction,"This design philosophy often leads to fewer components, less ornamentation, and a focus on essential functionality, thereby reducing material content.",Modify,"The design modifies the aesthetic and functional approach by adopting a minimalist ethos, simplifying the overall product.",https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,Fast charging,Product efficiency,Energy consumption efficiency,"While focused on user convenience, fast charging technology can also imply more efficient energy transfer and potentially reduce overall charging time, contributing to energy efficiency.",Adapt,"The design adapts existing fast-charging technologies, commonly found in electric vehicles, to the marine context.",https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,50-nautical-mile range at lower speeds,Product efficiency,Energy consumption efficiency,A defined range at specific speeds directly relates to how efficiently the vessel uses its energy source over a given distance.,Modify,"The design modifies the operational parameters by specifying a range, which is a key performance indicator influenced by energy efficiency.",https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
X Shore 1,Vehicles and Parts,Customisable modular options,Longevity and Effective Usage,Design for upgradability and adaptability,"Modular options allow users to adapt the vessel to different needs or upgrade components over time, extending its useful life and reducing the need for premature replacement.",Combine,"The design combines different functional modules that can be configured or swapped, offering flexibility and customization.",https://ifdesign.com/en/winner-ranking/project/x-shore-1/694729
Corrugated Paper Coffin,Religious and Ceremonial,Sustainable,Next-Best Material Selection,Renewable and biodegradable material,"The feature 'Sustainable' directly aligns with selecting materials that are renewable and biodegradable, reducing environmental impact.",Substitute,"Choosing 'Sustainable' as a design feature implies substituting traditional, less eco-friendly materials with more environmentally responsible options.",https://ifdesign.com/en/winner-ranking/project/corrugated-paper-coffin/711601
Corrugated Paper Coffin,Religious and Ceremonial,Innovative,Dematerialization,Content reduction,"An 'Innovative' design often seeks to achieve functionality with less material, contributing to content reduction.",Modify,The 'Innovative' nature of the product suggests modifications to existing concepts or materials to create something novel.,https://ifdesign.com/en/winner-ranking/project/corrugated-paper-coffin/711601
Corrugated Paper Coffin,Religious and Ceremonial,Eco-friendly,Next-Best Material Selection,Recycled material,"'Eco-friendly' is achieved by using materials that are recycled, minimizing waste and resource depletion.",Substitute,Designing for 'Eco-friendly' necessitates substituting conventional materials with recycled alternatives.,https://ifdesign.com/en/winner-ranking/project/corrugated-paper-coffin/711601
Corrugated Paper Coffin,Religious and Ceremonial,Combines practical functionality with environmental consciousness,Product efficiency,Material consumption efficiency,"This feature optimizes the use of materials to ensure both utility and environmental responsibility, enhancing material consumption efficiency.",Combine,This design feature arises from combining the functional requirements of a coffin with the principles of environmental consciousness.,https://ifdesign.com/en/winner-ranking/project/corrugated-paper-coffin/711601
Corrugated Paper Coffin,Religious and Ceremonial,Alternative to traditional materials,Next-Best Material Selection,Lightweight material,"Offering an 'Alternative to traditional materials' often involves selecting lighter, more sustainable options that can improve logistics and reduce embodied energy.",Substitute,"The core of this feature is substituting established, often less sustainable, materials with new alternatives.",https://ifdesign.com/en/winner-ranking/project/corrugated-paper-coffin/711601
PSB Lisocore Panel,Home and Garden,47% less material consumption,Dematerialization,Content reduction,Using less material directly reduces the overall amount of resources consumed in production.,Eliminate,The feature was likely achieved by identifying and removing non-essential material from the product's design.,https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
PSB Lisocore Panel,Home and Garden,40% lighter,Dematerialization,Weight reduction,Reducing the weight of the product often correlates with using less material and can also improve transportation efficiency.,Modify,The product's weight was reduced by modifying its material composition or structure to be lighter.,https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
PSB Lisocore Panel,Home and Garden,Enhanced stiffness and rigidity,Longevity and Effective Usage,Design to last,Increased stiffness and rigidity contribute to a more durable product that is less prone to damage and has a longer lifespan.,Modify,The stiffness and rigidity were enhanced by modifying the material properties or the structural design of the panel.,https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
PSB Lisocore Panel,Home and Garden,Zero formaldehyde emissions (0.3 mg/L),Green Supply Chain,Detoxified processes,Eliminating harmful formaldehyde emissions creates a healthier indoor environment and signifies a cleaner manufacturing process.,Substitute,The design likely substituted formaldehyde-emitting materials with safer alternatives to achieve zero emissions.,https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
PSB Lisocore Panel,Home and Garden,100% deforestation-free,Next-Best Material Selection,Renewable and biodegradable material,Ensuring the material is deforestation-free supports responsible sourcing of renewable resources.,Substitute,The design substituted materials that contribute to deforestation with those sourced from sustainable and deforestation-free origins.,https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
PSB Lisocore Panel,Home and Garden,Utilizes upcycled palm fronds,Next-Best Material Selection,Recycled material,Using upcycled materials diverts waste from landfills and gives new life to discarded resources.,Substitute,"Palm fronds were substituted as a primary material, leveraging an existing waste stream for a new product.",https://ifdesign.com/en/winner-ranking/project/psb-lisocore-panel/709517
ADITUS Eco Event-Lanyard,Office Supplies,Made from 100% recycled and recyclable PET (rPET),Next-Best Material Selection,Recycled material,Utilizing recycled PET directly addresses the strategy of selecting materials that have a lower environmental impact by giving them a second life.,Substitute,"The material choice substitutes virgin PET with recycled PET, demonstrating a direct substitution of materials to achieve a more sustainable outcome.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Made from 100% recycled and recyclable PET (rPET),Next-Best Material Selection,Recyclable material,Ensuring the material is also recyclable at its end-of-life reinforces the circularity of the product's material lifecycle.,Substitute,"This feature involves substituting traditional, less recyclable materials with a material that is explicitly designed for recyclability.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,No metal clips or carabiners,Circularity,Design for disassembly,"Removing metal components simplifies the separation of materials at the end of the product's life, facilitating easier recycling.",Eliminate,"The design eliminates metal clips, a common component in lanyards, to simplify the material composition and improve end-of-life processing.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Features notches to securely hold badges,Longevity and Effective Usage,Design to last,"The secure holding mechanism ensures the lanyard functions effectively for its intended purpose over a longer period, reducing the need for replacement.",Adapt,"The notches are an adaptation of a standard lanyard feature, modified to enhance its functional performance and user experience.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Allows for easy local recycling,Circularity,Design for end-of-life collection,"Designing for easy local recycling directly supports the infrastructure for collecting and processing materials within a community, promoting a closed-loop system.",Rearrange,"The design's recyclability is rearranged to be 'local,' implying a consideration of the logistical and accessibility aspects of the end-of-life phase.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Stable,Longevity and Effective Usage,Design to last,"A stable product is less likely to break or malfunction, contributing to its longevity and reducing the need for premature replacement.",Adapt,"The stability of the lanyard is an adapted characteristic, likely achieved through material selection and structural design to ensure durability.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Safe,Product efficiency,Change consumer behavior,"Ensuring safety, particularly by removing metal clips, prevents potential hazards and promotes responsible use, indirectly influencing user behavior towards safer practices.",Eliminate,"Safety is achieved by eliminating potentially hazardous components like metal clips, a direct application of the 'Eliminate' SCAMPER technique for improved product safety.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
ADITUS Eco Event-Lanyard,Office Supplies,Environmentally friendly,Next-Best Material Selection,Renewable and biodegradable material,"While rPET is not biodegradable, the overall 'environmentally friendly' claim, combined with the material choice, points towards a preference for less impactful materials.",Substitute,"The overarching 'environmentally friendly' attribute is a result of substituting conventional materials with more sustainable alternatives, a core aspect of the 'Substitute' technique.",https://ifdesign.com/en/winner-ranking/project/aditus-eco-event-lanyard/707288
Fotile flat embedded high-end refrigerator,Home and Garden,Natural and sustainable materials,Next-Best Material Selection,Renewable and biodegradable material,"Utilizing natural and sustainable materials directly supports the selection of renewable and biodegradable options, reducing environmental impact.",Substitute,"This feature likely arose from substituting conventional, less sustainable materials with natural and eco-friendly alternatives.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Innovative nitrogen preservation system,Product efficiency,Material consumption efficiency,"The nitrogen preservation system enhances food longevity, thereby reducing food waste and the material resources needed for replacement.",Combine,This feature combines existing refrigeration technology with a novel gas preservation system to improve performance and reduce waste.,https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Freshness defrosting system,Product efficiency,Energy consumption efficiency,An efficient defrosting system can reduce energy usage by preventing ice buildup and maintaining optimal operating conditions.,Adapt,"This feature likely adapts existing defrosting mechanisms with a focus on maintaining food freshness, implying a different application or enhancement of a known process.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Fresh air purification system,Product efficiency,Energy consumption efficiency,"A purified air system can help maintain food quality and reduce spoilage, indirectly contributing to resource efficiency by minimizing waste.",Add,"This feature adds a new function (air purification) to a refrigerator, enhancing its overall performance and user experience.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Handle-less design,Dematerialization,Minimal material and packaging,Eliminating handles can reduce the amount of material used in the product's construction and potentially simplify manufacturing.,Eliminate,This design choice actively removes a traditional component (the handle) to achieve a cleaner aesthetic and potentially reduce material usage.,https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Pressure-sensitive design,Product efficiency,Variable energy consumption,"Pressure-sensitive controls can lead to more intuitive and efficient operation, potentially reducing unnecessary energy use by ensuring precise interactions.",Adapt,This feature adapts user interface technology from other sectors to create a more responsive and potentially energy-efficient control system for the refrigerator.,https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Industry's thinnest cabinet,Dematerialization,Weight reduction,"A thinner cabinet directly reduces the amount of material used, leading to less resource consumption and lower transportation emissions.",Modify,"This feature involves modifying the physical dimensions of the cabinet to be significantly thinner, pushing the boundaries of current manufacturing.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Seamlessly blends into cabinets,Longevity and Effective Usage,Design to last,"By integrating seamlessly, the refrigerator becomes a more permanent fixture in the home, encouraging longer-term use and reducing the frequency of replacements.",Adapt,"This design adapts the refrigerator's form factor to integrate with existing kitchen cabinetry, enhancing its aesthetic and functional longevity within a space.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Fotile flat embedded high-end refrigerator,Home and Garden,Minimalistic design,Dematerialization,Content reduction,"A minimalistic design often translates to fewer decorative elements and simpler forms, potentially reducing material usage and manufacturing complexity.",Modify,"This design modifies the aesthetic by stripping away extraneous elements, focusing on essential form and function.",https://ifdesign.com/en/winner-ranking/project/fotile-flat-embedded-high-end-refrigerator/697047
Sustainable Knife,Home and Garden,Made of recycled materials,Next-Best Material Selection,Recycled material,"Utilizing recycled materials directly supports the selection of materials that have already been processed, reducing the demand for virgin resources.",Substitute,This feature is a direct result of substituting virgin materials with recycled ones to improve the product's environmental impact.,https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
Sustainable Knife,Home and Garden,Convenient for disassembly,Circularity,Design for disassembly,"Designing for disassembly is crucial for enabling the separation of materials at the end of the product's life, facilitating recycling and reuse.",Eliminate,"The design was likely simplified by eliminating complex joining mechanisms, making it easier to take apart.",https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
Sustainable Knife,Home and Garden,Closed-loop recycling,Circularity,Design for end-of-life collection,"A closed-loop system ensures that materials can be collected and reprocessed back into new products, minimizing waste and resource depletion.",Rearrange,This feature implies a rearrangement of the product's lifecycle to create a continuous loop of material use rather than a linear take-make-dispose model.,https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
Sustainable Knife,Home and Garden,Detachable function design,Longevity and Effective Usage,Design for repairability and maintenance,"Detachable components allow for easier repair or replacement of individual parts, extending the overall lifespan of the product.",Eliminate,"The design likely eliminated fixed or integrated components, opting for detachable ones to simplify maintenance and repair.",https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
Sustainable Knife,Home and Garden,Easily disassembled with a coin,Circularity,Design for disassembly,Simplifying the disassembly process with common tools like a coin makes it more accessible for consumers to participate in end-of-life material recovery.,Modify,"The design was modified to incorporate features that allow disassembly with a readily available tool, making the process less complex.",https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
Sustainable Knife,Home and Garden,Material name identified on each part,Circularity,Enable material traceability,"Clearly identifying materials on each part is essential for accurate sorting and recycling, enabling effective material traceability throughout the product's lifecycle.",Adapt,"This feature adapts the concept of product labeling to include detailed material information, aiding in downstream recycling processes.",https://ifdesign.com/en/winner-ranking/project/sustainable-knife/646363
720 Sustainable Circular Eyewear,Apparel and Accessories,Crafted from recycled fishing net nylon,Next-Best Material Selection,Recycled material,"Utilizing recycled fishing net nylon directly addresses the use of recycled materials, contributing to a more sustainable material selection.",Substitute,"This feature is a direct result of substituting virgin nylon with a recycled alternative, demonstrating a substitution of materials.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Modular approach,Green Supply Chain,Standardisation and modularity,"A modular approach promotes standardization and allows for easier assembly and disassembly, aligning with efficient supply chain practices.",Combine,"The modular design allows for the combination of different interchangeable parts, maximizing flexibility and potential uses.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Single-material construction,Circularity,Enable material homogeneity,Using a single material simplifies the recycling process and enables better material homogeneity at the end of the product's life.,Eliminate,"This feature involves eliminating the need for multiple materials, simplifying the product's composition and end-of-life processing.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Screwless construction,Circularity,Design for disassembly,"Screwless construction facilitates easier disassembly, which is crucial for repair, component replacement, and effective end-of-life management.",Eliminate,"The design eliminates the need for screws, simplifying the assembly and disassembly process.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,"Easily swappable frames, nose pads, and temples",Longevity and Effective Usage,Design for repairability and maintenance,"The ability to easily swap components enhances repairability and maintenance, extending the product's lifespan and reducing waste.",Adapt,"This feature adapts the product by allowing users to change specific components, enhancing its versatility and longevity.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Individual component replacement,Longevity and Effective Usage,Design for repairability and maintenance,"Allowing for the replacement of individual components directly supports repairability and maintenance, prolonging the product's usable life.",Modify,"This feature modifies the product by enabling individual parts to be replaced, adding value and extending its functional life.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Extended product lifespan,Longevity and Effective Usage,Design to last,"All the design features contribute to an extended product lifespan by promoting repair, adaptability, and durability.",Combine,"The extended lifespan is achieved by combining multiple design strategies that focus on durability, repairability, and adaptability.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Comfort,Product efficiency,Change consumer behavior,"Prioritizing comfort encourages longer wear and greater satisfaction, indirectly influencing consumer behavior towards more sustainable product use.",Adapt,Comfort is adapted from general product design principles to enhance user experience and encourage prolonged use of the eyewear.,https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Functionality,Product efficiency,Material consumption efficiency,"Ensuring high functionality means the product performs its intended purpose effectively, leading to efficient use of materials over its lifespan.",Adapt,"Functionality is adapted to ensure the eyewear performs optimally, making the most of the materials used.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Fashion,Product efficiency,Change consumer behavior,"Appealing fashion encourages consumers to keep and use the product for longer, reducing the need for frequent replacements.",Adapt,"Fashion elements are adapted to make the sustainable product desirable, encouraging longer-term adoption and use.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
720 Sustainable Circular Eyewear,Apparel and Accessories,Sustainability,Dematerialization,Minimal material and packaging,"The overarching commitment to sustainability guides all design choices, aiming to minimize material usage and environmental impact.",Substitute,"The entire product concept is a substitution for less sustainable alternatives, driven by a core principle of sustainability.",https://ifdesign.com/en/winner-ranking/project/720-sustainable-circular-eyewear/617047
Lammeh,Furniture,Inspired by the Arab Majlis ethos,Longevity and Effective Usage,Design for multiple uses,"By drawing inspiration from a cultural tradition of communal gathering, the design encourages prolonged and varied social interactions, thereby extending the product's effective lifespan.",Adapt,"This feature adapts the concept of a traditional gathering space into a modern furniture piece, borrowing from historical context to create a new functional and social experience.",https://ifdesign.com/en/winner-ranking/project/lammeh/644583
Lammeh,Furniture,Repurposes fabric waste,Next-Best Material Selection,Recycled material,"The use of fabric waste directly aligns with selecting recycled materials, reducing the demand for virgin resources and diverting waste from landfills.",Substitute,"This feature substitutes traditional new materials with repurposed fabric waste, demonstrating a creative approach to material sourcing and waste reduction.",https://ifdesign.com/en/winner-ranking/project/lammeh/644583
Lammeh,Furniture,Creates distinctive social spaces,Product efficiency,Change consumer behavior,"By fostering unique social environments, the furniture encourages more intentional and communal use, influencing consumer behavior towards shared experiences.",Modify,"The design modifies the typical function of furniture to actively create social spaces, magnifying its impact beyond mere seating to actively shaping user interaction.",https://ifdesign.com/en/winner-ranking/project/lammeh/644583
Lammeh,Furniture,Designed to bring people together,Product efficiency,Change consumer behavior,"The core purpose of fostering connection directly aims to influence how people interact and spend time together, promoting more communal and less isolated activities.",Combine,"This feature combines the functionality of furniture with a social objective, merging the physical product with the desired outcome of enhanced human connection.",https://ifdesign.com/en/winner-ranking/project/lammeh/644583
FOREARTH,Home and Garden,Inkjet textile printer,Product efficiency,Material consumption efficiency,"By using an inkjet printing method, the FOREARTH printer minimizes ink waste compared to traditional textile printing methods, leading to more efficient material consumption.",Substitute,"The inkjet technology substitutes traditional, often more wasteful, printing methods for textiles, offering a more precise and efficient application of ink.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Eliminates virtually all water usage,Green Supply Chain,Detoxified processes,"This feature directly addresses water scarcity and pollution by removing a significant water-intensive step from textile production, aligning with detoxified and frugal processes.",Eliminate,"The design eliminates the need for water in the printing process, a significant departure from conventional textile dyeing and printing methods.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Reduces water pollution,Green Supply Chain,Detoxified processes,"By eliminating water usage, the process inherently prevents the discharge of contaminated wastewater, thereby reducing water pollution.",Eliminate,This feature is achieved by eliminating the water-based processes that typically lead to water pollution in textile manufacturing.,https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Proprietary pigment ink,Next-Best Material Selection,Renewable and biodegradable material,"A proprietary pigment ink, if formulated with sustainable components, can offer a more environmentally friendly alternative to traditional dyes, potentially using renewable or biodegradable materials.",Substitute,"The development of a proprietary pigment ink substitutes conventional dyes, allowing for a tailored approach to material selection for improved sustainability.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Enables printing on various fabrics,Longevity and Effective Usage,Design for multiple uses,The versatility of printing on various fabrics extends the product's utility and lifespan by allowing for diverse applications and reducing the need for specialized equipment for different materials.,Adapt,The ability to print on various fabrics is an adaptation of the printing technology to broaden its applicability and user base.,https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Maintains fabric softness,Longevity and Effective Usage,Design to last,"By preserving the natural feel and quality of fabrics, this feature enhances user satisfaction and encourages longer product use, contributing to a design that lasts.",Modify,"The process is modified to ensure that the printing does not negatively impact the tactile qualities of the fabric, enhancing the overall user experience.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Can be installed anywhere,Green Supply Chain,Design for logistics,"The flexibility in installation reduces the need for specialized infrastructure and allows for decentralized production, optimizing logistics and distribution.",Rearrange,"The design is rearranged to remove the constraint of needing specific installation environments, making it more adaptable to various locations and reducing logistical complexities.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Reduces distribution costs,Green Supply Chain,Design for logistics,"By enabling local or on-demand printing, the need for extensive transportation of finished goods is reduced, thereby lowering distribution costs and associated environmental impacts.",Eliminate,"The design eliminates the need for large-scale, centralized manufacturing and subsequent long-distance distribution by enabling localized production.",https://ifdesign.com/en/winner-ranking/project/forearth/628989
FOREARTH,Home and Garden,Reduces inventory,Dematerialization,Content reduction,"By facilitating on-demand printing, the need to hold large stocks of pre-printed textiles is eliminated, reducing waste from unsold goods and material usage.",Eliminate,The system eliminates the need for large inventories of finished textile products by enabling a direct-to-consumer or direct-to-designer printing model.,https://ifdesign.com/en/winner-ranking/project/forearth/628989
One-piece Sustainable Wine Packaging,Beverages and Tobacco,Natural scenery of the vineyard depicted through molded pulp characteristics,Next-Best Material Selection,Renewable and biodegradable material,"The use of molded pulp inherently showcases the natural origin of the material, aligning with the selection of renewable and biodegradable resources.",Adapt,"This feature adapts the natural aesthetic of the molded pulp to create a visual connection to the vineyard, enhancing the product's story.",https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
One-piece Sustainable Wine Packaging,Beverages and Tobacco,Abstract representation on the packaging,Dematerialization,Design for value,"Abstract representations can convey meaning and brand identity without requiring additional printing or materials, thus contributing to design for value and potentially reducing material use.",Modify,"Abstract representation modifies the visual communication by using form and texture instead of literal imagery, adding aesthetic value without extra processes.",https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
One-piece Sustainable Wine Packaging,Beverages and Tobacco,Decorative elements,Dematerialization,Design for value,"Decorative elements integrated into the molded pulp itself add aesthetic value without the need for additional printing or embellishments, aligning with design for value and minimal material use.",Modify,"Decorative elements are a modification of the basic form, adding aesthetic appeal through the inherent properties of the material.",https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
One-piece Sustainable Wine Packaging,Beverages and Tobacco,Impact resistance during transportation,Green Supply Chain,Design for logistics,"Ensuring impact resistance directly supports efficient and reduced damage during transportation, a key aspect of a green supply chain and design for logistics.",Adapt,"This feature adapts the inherent protective qualities of molded pulp to the specific demands of product logistics, ensuring safe transit.",https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
One-piece Sustainable Wine Packaging,Beverages and Tobacco,Cushioning for wine bottles,Green Supply Chain,Design for logistics,"Effective cushioning protects the product during transit, minimizing breakage and waste, which is crucial for efficient logistics and a greener supply chain.",Adapt,The cushioning function is an adaptation of the molded pulp's form to provide protective benefits for the wine bottles during transport.,https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
One-piece Sustainable Wine Packaging,Beverages and Tobacco,S-shaped molded pulp for convenient product display,Dematerialization,Design for value,"The S-shape integrates display functionality into the packaging itself, reducing the need for separate display units and adding value through enhanced presentation.",Rearrange,"The S-shape rearranges the conventional packaging form to serve a dual purpose of protection and display, enhancing its utility.",https://ifdesign.com/en/winner-ranking/project/one-piece-sustainable-wine-packaging/642804
